CustomerID,Gender,Age,Income,SpendingScore,Email
1,Female,69,81.0,82.8,elizabeth.smith846@example.com
2,Female,67,84.3,72.9,karen.rodriguez626@example.com
3,Male,75,82.1,88.9,michael.smith137@example.com
4,Female,62,80.9,80.4,elizabeth.wilson860@example.com
5,Female,64,78.5,78.3,karen.johnson410@example.com
6,Female,63,82.9,75.3,jennifer.miller863@example.com
7,Female,70,78.8,85.5,jennifer.smith630@example.com
8,Female,65,87.8,79.1,mary.brown994@example.com
9,Female,68,89.3,81.4,linda.johnson500@example.com
10,Male,64,77.7,70.4,james.smith969@example.com
11,Male,63,85.8,82.4,john.rodriguez445@example.com
12,Female,63,80.6,82.2,karen.johnson865@example.com
13,Male,70,81.4,82.3,robert.johnson236@example.com
14,Male,63,88.5,88.9,michael.jones368@example.com
15,Female,64,71.4,83.6,susan.williams72@example.com
16,Male,66,71.7,77.2,matthew.garcia50@example.com
17,Female,72,70.4,78.7,karen.johnson726@example.com
18,Male,62,86.7,84.0,christopher.brown276@example.com
19,Male,73,85.6,71.2,william.garcia868@example.com
20,Female,62,87.4,83.3,karen.williams724@example.com
21,Female,75,89.6,83.4,elizabeth.smith817@example.com
22,Male,68,86.0,74.2,david.williams360@example.com
23,Female,75,79.2,72.6,sarah.jones130@example.com
24,Female,69,85.6,76.3,karen.garcia691@example.com
25,Female,71,72.4,77.3,linda.smith492@example.com
26,Male,54,70.8,23.6,christopher.wilson905@example.com
27,Female,46,75.7,15.4,sarah.jones674@example.com
28,Female,50,72.4,24.7,barbara.davis867@example.com
29,Female,55,75.9,29.2,patricia.williams584@example.com
30,Male,50,72.4,15.0,john.garcia769@example.com
31,Male,55,76.4,21.5,michael.miller766@example.com
32,Male,52,78.3,21.8,john.rodriguez297@example.com
33,Female,48,71.3,21.4,linda.brown790@example.com
34,Male,50,83.8,14.5,daniel.miller634@example.com
35,Female,54,81.3,29.1,patricia.miller614@example.com
36,Female,54,75.3,18.9,karen.williams742@example.com
37,Male,54,80.5,26.9,robert.davis776@example.com
38,Female,55,71.9,24.0,susan.johnson11@example.com
39,Male,55,81.5,15.9,anthony.brown725@example.com
40,Male,52,88.6,26.3,william.williams255@example.com
41,Male,59,76.4,17.9,james.garcia397@example.com
42,Male,51,83.3,27.6,anthony.davis42@example.com
43,Male,52,72.6,21.6,christopher.wilson438@example.com
44,Female,58,84.3,27.6,mary.williams466@example.com
45,Male,57,75.8,23.9,michael.jones728@example.com
46,Male,56,73.7,24.5,david.garcia550@example.com
47,Female,47,81.7,20.0,jessica.rodriguez628@example.com
48,Female,59,70.4,29.1,mary.smith516@example.com
49,Male,56,86.6,22.9,william.jones867@example.com
50,Female,60,70.1,18.5,jessica.smith838@example.com
51,Female,22,13.0,74.5,susan.brown571@example.com
52,Male,26,27.4,76.9,michael.williams25@example.com
53,Female,23,13.2,88.6,susan.davis333@example.com
54,Male,20,22.3,84.1,john.brown24@example.com
55,Female,18,12.5,70.6,mary.rodriguez636@example.com
56,Female,19,27.0,73.3,jennifer.brown131@example.com
57,Male,26,26.1,82.4,anthony.brown904@example.com
58,Female,23,21.4,81.5,patricia.jones715@example.com
59,Female,24,18.1,74.8,linda.johnson497@example.com
60,Male,29,11.4,88.7,christopher.johnson32@example.com
61,Female,30,23.9,82.3,patricia.garcia829@example.com
62,Male,21,19.1,80.7,michael.jones146@example.com
63,Male,26,24.4,81.8,matthew.miller127@example.com
64,Male,21,27.3,84.6,david.jones881@example.com
65,Male,18,29.5,76.2,john.smith51@example.com
66,Female,27,27.1,78.0,elizabeth.jones581@example.com
67,Female,22,10.2,74.2,barbara.miller970@example.com
68,Male,23,17.2,73.7,anthony.smith876@example.com
69,Male,25,24.6,88.9,anthony.garcia739@example.com
70,Male,28,13.4,84.8,daniel.davis391@example.com
71,Male,26,20.4,79.8,matthew.williams222@example.com
72,Male,28,11.1,74.5,christopher.wilson308@example.com
73,Male,21,14.0,75.1,john.williams164@example.com
74,Female,28,10.4,71.2,patricia.miller355@example.com
75,Female,20,25.9,78.7,barbara.johnson356@example.com
76,Male,44,29.1,17.1,anthony.smith52@example.com
77,Male,44,23.7,28.8,robert.williams163@example.com
78,Female,42,14.3,25.3,karen.jones379@example.com
79,Female,40,28.9,25.0,susan.rodriguez142@example.com
80,Female,43,24.6,28.1,patricia.johnson499@example.com
81,Female,35,15.1,11.7,elizabeth.smith325@example.com
82,Female,43,14.3,21.0,linda.rodriguez756@example.com
83,Male,40,20.4,21.7,michael.jones422@example.com
84,Female,31,10.5,29.2,barbara.jones434@example.com
85,Male,36,14.1,15.8,michael.johnson584@example.com
86,Female,33,18.5,14.8,jessica.garcia355@example.com
87,Female,45,17.5,12.0,barbara.johnson500@example.com
88,Male,38,19.3,10.3,michael.garcia446@example.com
89,Male,38,15.6,28.6,john.jones353@example.com
90,Male,40,21.7,23.4,david.williams651@example.com
91,Female,36,27.3,25.7,karen.davis835@example.com
92,Male,33,12.4,15.6,michael.johnson837@example.com
93,Male,43,20.3,21.7,michael.brown777@example.com
94,Female,34,12.6,11.3,elizabeth.smith404@example.com
95,Male,38,24.3,19.7,john.johnson413@example.com
96,Female,34,17.9,29.5,sarah.rodriguez306@example.com
97,Female,32,21.3,27.5,jessica.garcia817@example.com
98,Male,43,13.7,16.8,anthony.brown443@example.com
99,Male,45,12.9,29.2,michael.miller235@example.com
100,Male,44,19.8,14.6,robert.wilson805@example.com
